order_id,order_date,ship_date,year,quarter,month,weekday,region,country,sales_channel,customer_segment,sales_rep,product_category,product_name,order_status,payment_method,quantity,unit_price,gross_sales,discount_pct,discount_amount,tax_rate,tax_amount,shipping_fee,total_sales
ORD-202402-00100,2024-02-04,2024-02-08,2024,Q1,Feb,Sunday,South,New Zealand,Wholesale,Government,A. Taka,Office Supplies,Envelope,Completed,Mobile Pay,21,35.91,754.11,0.02,15.08,0.12,88.68,22.49,850.20
ORD-202402-00317,2024-02-04,2024-02-11,2024,Q1,Feb,Sunday,North,Canada,Retail,Government,S. Raka,Electronics,Phone,Pending,Bank Transfer,4,626.37,2505.48,0.10,250.55,0.10,225.49,17.38,2497.80
ORD-202402-00020,2024-02-05,2024-02-11,2024,Q1,Feb,Monday,North,Canada,Retail,Consumer,M. Kila,Electronics,Printer,Returned,Credit Card,1,294.92,294.92,0.02,5.90,0.07,20.23,55.82,365.07
ORD-202402-00761,2024-02-05,2024-02-11,2024,Q1,Feb,Monday,East,Japan,Wholesale,Government,M. Kila,Office Supplies,Pen,Completed,Bank Transfer,22,8.27,181.94,0.00,0.00,0.07,12.74,43.46,238.14
ORD-202402-00429,2024-02-06,2024-02-11,2024,Q1,Feb,Tuesday,North,Canada,Wholesale,Consumer,J. Aita,Accessories,Docking Station,Completed,Credit Card,28,54.03,1512.84,0.08,121.03,0.10,139.18,14.56,1545.55
ORD-202402-00198,2024-02-08,2024-02-14,2024,Q1,Feb,Thursday,Central,India,Retail,Corporate,M. Kila,Office Supplies,Notebook,Completed,Bank Transfer,20,30.94,618.80,0.10,61.88,0.12,66.83,56.34,680.09
ORD-202402-00385,2024-02-09,2024-02-13,2024,Q1,Feb,Friday,West,France,Distributor,Consumer,L. Nami,Home,Chair,Completed,Cash,13,146.89,1909.57,0.02,38.19,0.07,131.00,60.99,2063.37
ORD-202402-00730,2024-02-09,2024-02-11,2024,Q1,Feb,Friday,West,Germany,Wholesale,Small Business,S. Raka,Software,License,Cancelled,Credit Card,15,410.69,6160.35,0.10,616.04,0.07,388.10,35.35,5967.76
ORD-202402-00163,2024-02-10,2024-02-11,2024,Q1,Feb,Saturday,West,Germany,Online,Consumer,P. Kuri,Office Supplies,Envelope,Completed,Bank Transfer,11,55.91,615.01,0.05,30.75,0.12,70.11,48.95,703.32
ORD-202402-00168,2024-02-10,2024-02-14,2024,Q1,Feb,Saturday,East,Japan,Online,Corporate,D. Siroi,Accessories,Docking Station,Completed,Bank Transfer,8,93.74,749.92,0.15,112.49,0.07,44.62,16.80,698.85
ORD-202402-00219,2024-02-10,2024-02-13,2024,Q1,Feb,Saturday,Central,UAE,Wholesale,Government,L. Nami,Office Supplies,Envelope,Pending,Credit Card,20,49.47,989.40,0.15,148.41,0.05,42.05,49.77,932.81
ORD-202402-00774,2024-02-10,2024-02-13,2024,Q1,Feb,Saturday,South,Australia,Wholesale,Government,D. Siroi,Home,Cabinet,Completed,Bank Transfer,5,206.59,1032.95,0.00,0.00,0.05,51.65,17.52,1102.12
ORD-202402-00613,2024-02-12,2024-02-14,2024,Q1,Feb,Monday,South,New Zealand,Distributor,Corporate,P. Kuri,Accessories,Mouse,Completed,Credit Card,21,164.69,3458.49,0.08,276.68,0.12,381.82,50.63,3614.26
ORD-202402-00147,2024-02-13,2024-02-17,2024,Q1,Feb,Tuesday,East,Japan,Wholesale,Consumer,L. Nami,Accessories,Headphones,Returned,Mobile Pay,20,31.43,628.60,0.10,62.86,0.10,56.57,23.76,646.07
ORD-202402-00180,2024-02-14,2024-02-24,2024,Q1,Feb,Wednesday,Central,UAE,Retail,Small Business,D. Siroi,Accessories,Docking Station,Completed,Credit Card,27,62.38,1684.26,0.12,202.11,0.12,177.86,30.87,1690.88
ORD-202402-00674,2024-02-14,2024-02-17,2024,Q1,Feb,Wednesday,West,France,Distributor,Corporate,D. Siroi,Home,Chair,Cancelled,Credit Card,28,438.49,12277.72,0.02,245.55,0.05,601.61,30.06,12663.84
ORD-202402-00566,2024-02-18,2024-02-24,2024,Q1,Feb,Sunday,West,UK,Distributor,Corporate,A. Taka,Electronics,Phone,Completed,Cash,20,1104.48,22089.60,0.15,3313.44,0.05,938.81,25.89,19740.86
ORD-202402-00791,2024-02-19,2024-02-23,2024,Q1,Feb,Monday,South,Australia,Wholesale,Government,M. Kila,Office Supplies,Notebook,Completed,Credit Card,22,29.56,650.32,0.10,65.03,0.12,70.23,14.63,670.15
ORD-202402-00556,2024-02-20,2024-02-23,2024,Q1,Feb,Tuesday,North,USA,Distributor,Government,A. Taka,Office Supplies,Pen,Completed,Cash,3,46.81,140.43,0.10,14.04,0.10,12.64,41.36,180.39
ORD-202402-00616,2024-02-21,2024-02-24,2024,Q1,Feb,Wednesday,North,Canada,Retail,Corporate,J. Aita,Accessories,Docking Station,Completed,Credit Card,21,164.31,3450.51,0.10,345.05,0.10,310.55,32.93,3448.94
ORD-202402-00541,2024-02-22,2024-02-25,2024,Q1,Feb,Thursday,West,Germany,Wholesale,Small Business,L. Nami,Home,Cabinet,Pending,Mobile Pay,23,223.38,5137.74,0.02,102.75,0.07,352.45,50.65,5438.09
ORD-202402-00793,2024-02-22,2024-02-27,2024,Q1,Feb,Thursday,Central,India,Wholesale,Government,M. Kila,Software,Security Suite,Completed,Credit Card,8,132.30,1058.40,0.02,21.17,0.10,103.72,16.00,1156.95
ORD-202402-00293,2024-02-23,2024-03-01,2024,Q1,Feb,Friday,South,New Zealand,Distributor,Small Business,D. Siroi,Office Supplies,Pen,Completed,Credit Card,3,20.56,61.68,0.02,1.23,0.05,3.02,46.00,109.47
ORD-202402-00524,2024-02-24,2024-03-01,2024,Q1,Feb,Saturday,North,USA,Wholesale,Small Business,T. Vele,Accessories,Keyboard,Pending,Bank Transfer,7,118.65,830.55,0.12,99.67,0.05,36.54,27.55,794.97
ORD-202402-00766,2024-02-24,2024-02-27,2024,Q1,Feb,Saturday,West,UK,Wholesale,Government,T. Vele,Office Supplies,Envelope,Completed,Mobile Pay,8,13.14,105.12,0.02,2.10,0.12,12.36,27.35,142.73
ORD-202402-00145,2024-02-26,2024-03-02,2024,Q1,Feb,Monday,East,Japan,Wholesale,Consumer,S. Raka,Office Supplies,Pen,Completed,Cash,2,45.46,90.92,0.12,10.91,0.12,9.60,57.71,147.32
ORD-202402-00357,2024-02-26,2024-02-27,2024,Q1,Feb,Monday,East,Singapore,Distributor,Corporate,M. Kila,Office Supplies,Pen,Completed,Bank Transfer,30,33.76,1012.80,0.15,151.92,0.05,43.04,27.96,931.88
ORD-202402-00373,2024-02-26,2024-02-29,2024,Q1,Feb,Monday,South,Australia,Wholesale,Consumer,P. Kuri,Home,Cabinet,Pending,Bank Transfer,1,62.54,62.54,0.15,9.38,0.05,2.66,63.09,118.91
ORD-202402-00585,2024-02-26,2024-03-01,2024,Q1,Feb,Monday,East,Philippines,Distributor,Small Business,T. Vele,Office Supplies,Pen,Pending,Mobile Pay,16,29.13,466.08,0.15,69.91,0.07,27.73,56.59,480.49
ORD-202402-00316,2024-02-27,2024-02-28,2024,Q1,Feb,Tuesday,South,New Zealand,Wholesale,Government,L. Nami,Electronics,Phone,Completed,Cash,6,1650.98,9905.88,0.05,495.29,0.10,941.06,15.15,10366.80
ORD-202402-00749,2024-02-28,2024-03-02,2024,Q1,Feb,Wednesday,Central,South Africa,Distributor,Small Business,S. Raka,Accessories,Docking Station,Cancelled,Mobile Pay,8,26.81,214.48,0.02,4.29,0.12,25.22,58.32,293.73
ORD-202403-00687,2024-03-03,2024-03-05,2024,Q1,Mar,Sunday,South,New Zealand,Online,Consumer,S. Raka,Home,Cabinet,Pending,Bank Transfer,1,122.00,122.00,0.02,2.44,0.10,11.96,55.21,186.73
ORD-202403-00159,2024-03-05,2024-03-06,2024,Q1,Mar,Tuesday,West,Germany,Wholesale,Consumer,M. Kila,Electronics,Laptop,Pending,Bank Transfer,23,877.29,20177.67,0.02,403.55,0.12,2372.89,21.53,22168.54
ORD-202403-00657,2024-03-06,2024-03-12,2024,Q1,Mar,Wednesday,East,Philippines,Online,Small Business,A. Taka,Home,Chair,Completed,Bank Transfer,10,360.12,3601.20,0.15,540.18,0.07,214.27,18.16,3293.45
ORD-202403-00670,2024-03-06,2024-03-09,2024,Q1,Mar,Wednesday,East,Singapore,Distributor,Corporate,P. Kuri,Accessories,Docking Station,Completed,Credit Card,1,185.22,185.22,0.00,0.00,0.10,18.52,56.07,259.81
ORD-202403-00596,2024-03-08,2024-03-11,2024,Q1,Mar,Friday,North,Canada,Retail,Government,T. Vele,Accessories,Webcam,Completed,Credit Card,1,70.37,70.37,0.02,1.41,0.07,4.83,24.41,98.20
ORD-202403-00633,2024-03-08,2024-03-11,2024,Q1,Mar,Friday,Central,UAE,Retail,Small Business,J. Aita,Electronics,Phone,Completed,Cash,10,1593.57,15935.70,0.15,2390.36,0.07,948.17,30.33,14523.84
ORD-202403-00366,2024-03-09,2024-03-12,2024,Q1,Mar,Saturday,North,Canada,Wholesale,Corporate,L. Nami,Software,License,Completed,Credit Card,1,144.28,144.28,0.02,2.89,0.07,9.90,31.41,182.70
ORD-202403-00632,2024-03-09,2024-03-13,2024,Q1,Mar,Saturday,West,Germany,Online,Corporate,L. Nami,Software,Support Plan,Pending,Cash,6,1104.19,6625.14,0.12,795.02,0.10,583.01,14.43,6427.56
ORD-202403-00032,2024-03-10,2024-03-15,2024,Q1,Mar,Sunday,East,Japan,Retail,Government,P. Kuri,Office Supplies,Stapler,Cancelled,Bank Transfer,19,26.60,505.40,0.05,25.27,0.05,24.01,45.00,549.14
ORD-202403-00265,2024-03-10,2024-03-17,2024,Q1,Mar,Sunday,Central,South Africa,Wholesale,Government,A. Taka,Office Supplies,Pen,Completed,Bank Transfer,16,35.72,571.52,0.15,85.73,0.12,58.29,53.66,597.74
ORD-202403-00547,2024-03-10,2024-03-17,2024,Q1,Mar,Sunday,South,New Zealand,Wholesale,Small Business,A. Taka,Office Supplies,Pen,Cancelled,Mobile Pay,25,4.19,104.75,0.10,10.48,0.10,9.43,9.19,112.89
ORD-202403-00655,2024-03-10,2024-03-14,2024,Q1,Mar,Sunday,East,Singapore,Retail,Small Business,M. Kila,Electronics,Tablet,Completed,Credit Card,4,1304.09,5216.36,0.05,260.82,0.12,594.66,21.02,5571.22
ORD-202403-00742,2024-03-11,2024-03-18,2024,Q1,Mar,Monday,West,France,Retail,Small Business,L. Nami,Accessories,Mouse,Pending,Bank Transfer,2,198.30,396.60,0.08,31.73,0.10,36.49,57.00,458.36
ORD-202403-00148,2024-03-12,2024-03-18,2024,Q1,Mar,Tuesday,Central,India,Online,Government,J. Aita,Accessories,Keyboard,Completed,Credit Card,15,128.03,1920.45,0.02,38.41,0.10,188.20,42.09,2112.33
ORD-202403-00543,2024-03-12,2024-03-13,2024,Q1,Mar,Tuesday,North,Canada,Wholesale,Small Business,P. Kuri,Office Supplies,Pen,Completed,Bank Transfer,16,48.74,779.84,0.02,15.60,0.05,38.21,54.48,856.93
ORD-202403-00113,2024-03-13,2024-03-16,2024,Q1,Mar,Wednesday,West,Germany,Online,Small Business,L. Nami,Accessories,Mouse,Returned,Mobile Pay,27,151.28,4084.56,0.08,326.76,0.10,375.78,34.04,4167.62
ORD-202403-00486,2024-03-13,2024-03-16,2024,Q1,Mar,Wednesday,North,USA,Distributor,Small Business,M. Kila,Accessories,Headphones,Completed,Cash,9,100.84,907.56,0.05,45.38,0.12,103.46,25.67,991.31
ORD-202403-00509,2024-03-14,2024-03-17,2024,Q1,Mar,Thursday,North,USA,Distributor,Consumer,S. Raka,Home,Cabinet,Completed,Credit Card,17,57.99,985.83,0.12,118.30,0.05,43.38,30.02,940.93
ORD-202403-00568,2024-03-14,2024-03-16,2024,Q1,Mar,Thursday,East,Japan,Retail,Small Business,J. Aita,Home,Desk,Completed,Mobile Pay,30,141.50,4245.00,0.05,212.25,0.12,483.93,47.03,4563.71
ORD-202403-00610,2024-03-14,2024-03-15,2024,Q1,Mar,Thursday,North,Canada,Wholesale,Corporate,M. Kila,Home,Chair,Returned,Mobile Pay,26,281.68,7323.68,0.02,146.47,0.07,502.40,36.68,7716.29
ORD-202403-00243,2024-03-15,2024-03-17,2024,Q1,Mar,Friday,West,France,Distributor,Corporate,T. Vele,Accessories,Keyboard,Returned,Mobile Pay,5,127.38,636.90,0.00,0.00,0.12,76.43,33.82,747.15
ORD-202403-00137,2024-03-16,2024-03-22,2024,Q1,Mar,Saturday,West,UK,Distributor,Government,M. Kila,Software,Add-on,Completed,Mobile Pay,6,498.28,2989.68,0.00,0.00,0.10,298.97,49.82,3338.47
ORD-202403-00377,2024-03-16,2024-03-21,2024,Q1,Mar,Saturday,Central,South Africa,Wholesale,Small Business,D. Siroi,Home,Desk,Pending,Cash,21,246.85,5183.85,0.08,414.71,0.07,333.84,40.44,5143.42
ORD-202403-00392,2024-03-16,2024-03-19,2024,Q1,Mar,Saturday,East,Japan,Wholesale,Government,A. Taka,Software,Subscription,Returned,Mobile Pay,21,615.21,12919.41,0.10,1291.94,0.05,581.37,45.36,12254.20
ORD-202403-00063,2024-03-18,2024-03-22,2024,Q1,Mar,Monday,Central,South Africa,Online,Government,S. Raka,Electronics,Monitor,Cancelled,Cash,14,1524.96,21349.44,0.02,426.99,0.10,2092.25,44.65,23059.35
ORD-202403-00371,2024-03-18,2024-03-20,2024,Q1,Mar,Monday,South,Australia,Distributor,Corporate,S. Raka,Office Supplies,Paper,Completed,Bank Transfer,21,3.13,65.73,0.12,7.89,0.10,5.78,32.67,96.29
ORD-202403-00299,2024-03-19,2024-03-23,2024,Q1,Mar,Tuesday,North,USA,Retail,Small Business,D. Siroi,Office Supplies,Notebook,Completed,Mobile Pay,25,40.26,1006.50,0.12,120.78,0.12,106.29,35.21,1027.22
ORD-202403-00690,2024-03-19,2024-04-02,2024,Q1,Mar,Tuesday,East,Singapore,Distributor,Government,L. Nami,Accessories,Mouse,Completed,Mobile Pay,20,29.62,592.40,0.15,88.86,0.10,50.35,55.79,609.68
ORD-202403-00576,2024-03-20,2024-03-21,2024,Q1,Mar,Wednesday,Central,India,Wholesale,Government,T. Vele,Accessories,Mouse,Pending,Cash,28,215.56,6035.68,0.10,603.57,0.07,380.25,17.59,5829.95
ORD-202403-00064,2024-03-22,2024-03-29,2024,Q1,Mar,Friday,West,UK,Distributor,Corporate,A. Taka,Electronics,Tablet,Completed,Bank Transfer,15,1192.11,17881.65,0.08,1430.53,0.05,822.56,63.55,17337.23
ORD-202403-00109,2024-03-24,2024-03-28,2024,Q1,Mar,Sunday,North,Canada,Distributor,Small Business,J. Aita,Electronics,Laptop,Completed,Credit Card,7,1501.51,10510.57,0.12,1261.27,0.07,647.45,28.56,9925.31
ORD-202403-00116,2024-03-24,2024-03-29,2024,Q1,Mar,Sunday,North,USA,Wholesale,Small Business,T. Vele,Accessories,Webcam,Returned,Credit Card,18,45.14,812.52,0.10,81.25,0.07,51.19,21.63,804.09
ORD-202403-00165,2024-03-24,2024-03-31,2024,Q1,Mar,Sunday,South,New Zealand,Retail,Small Business,D. Siroi,Office Supplies,Stapler,Returned,Cash,12,56.62,679.44,0.02,13.59,0.10,66.59,57.80,790.24
ORD-202403-00166,2024-03-24,2024-03-29,2024,Q1,Mar,Sunday,East,Japan,Distributor,Consumer,P. Kuri,Accessories,Headphones,Completed,Bank Transfer,21,14.43,303.03,0.12,36.36,0.12,32.00,39.84,338.51
ORD-202403-00351,2024-03-24,2024-03-31,2024,Q1,Mar,Sunday,Central,India,Retail,Small Business,T. Vele,Electronics,Tablet,Completed,Bank Transfer,11,316.51,3481.61,0.10,348.16,0.10,313.35,50.64,3497.44
ORD-202403-00369,2024-03-24,2024-03-25,2024,Q1,Mar,Sunday,Central,UAE,Distributor,Government,A. Taka,Accessories,Headphones,Completed,Bank Transfer,28,147.37,4126.36,0.10,412.64,0.07,259.96,8.54,3982.22
ORD-202403-00738,2024-03-25,2024-03-28,2024,Q1,Mar,Monday,East,Philippines,Online,Small Business,J. Aita,Software,Subscription,Completed,Mobile Pay,18,1051.66,18929.88,0.08,1514.39,0.07,1219.08,8.18,18642.75
ORD-202403-00249,2024-03-26,2024-04-02,2024,Q1,Mar,Tuesday,North,USA,Wholesale,Corporate,S. Raka,Software,Subscription,Cancelled,Mobile Pay,18,172.67,3108.06,0.15,466.21,0.10,264.19,16.21,2922.25
ORD-202403-00784,2024-03-26,2024-03-31,2024,Q1,Mar,Tuesday,Central,UAE,Distributor,Corporate,A. Taka,Electronics,Phone,Returned,Bank Transfer,26,1164.35,30273.10,0.12,3632.77,0.10,2664.03,30.21,29334.57
ORD-202403-00388,2024-03-27,2024-03-29,2024,Q1,Mar,Wednesday,West,UK,Wholesale,Corporate,D. Siroi,Electronics,Laptop,Returned,Credit Card,22,1127.76,24810.72,0.10,2481.07,0.10,2232.97,43.43,24606.05
ORD-202403-00280,2024-03-30,2024-04-01,2024,Q1,Mar,Saturday,Central,UAE,Wholesale,Corporate,M. Kila,Accessories,Webcam,Pending,Mobile Pay,28,81.06,2269.68,0.15,340.45,0.05,96.46,39.51,2065.20
ORD-202403-00348,2024-03-30,2024-04-03,2024,Q1,Mar,Saturday,South,Australia,Distributor,Small Business,T. Vele,Electronics,Printer,Completed,Credit Card,1,1392.75,1392.75,0.05,69.64,0.07,92.62,22.37,1438.10
ORD-202404-00574,2024-04-02,2024-04-16,2024,Q2,Apr,Tuesday,South,New Zealand,Wholesale,Consumer,S. Raka,Office Supplies,Stapler,Completed,Credit Card,24,13.87,332.88,0.15,49.93,0.12,33.95,51.19,368.09
ORD-202404-00643,2024-04-02,2024-04-05,2024,Q2,Apr,Tuesday,Central,India,Wholesale,Government,J. Aita,Electronics,Laptop,Cancelled,Bank Transfer,27,458.95,12391.65,0.08,991.33,0.07,798.02,40.10,12238.44
ORD-202404-00023,2024-04-05,2024-04-09,2024,Q2,Apr,Friday,North,USA,Distributor,Government,J. Aita,Software,Add-on,Returned,Mobile Pay,16,658.70,10539.20,0.10,1053.92,0.07,663.97,27.49,10176.74
ORD-202404-00233,2024-04-05,2024-04-06,2024,Q2,Apr,Friday,West,Germany,Wholesale,Consumer,M. Kila,Home,Lamp,Returned,Bank Transfer,11,385.35,4238.85,0.15,635.83,0.12,432.36,53.77,4089.15
ORD-202404-00451,2024-04-05,2024-04-09,2024,Q2,Apr,Friday,North,USA,Online,Consumer,L. Nami,Software,Support Plan,Pending,Cash,20,657.02,13140.40,0.05,657.02,0.12,1498.01,9.20,13990.59
ORD-202404-00225,2024-04-06,2024-04-09,2024,Q2,Apr,Saturday,East,Philippines,Distributor,Corporate,A. Taka,Software,Security Suite,Pending,Bank Transfer,29,297.13,8616.77,0.02,172.34,0.10,844.44,17.14,9306.01
ORD-202404-00258,2024-04-07,2024-04-09,2024,Q2,Apr,Sunday,West,UK,Wholesale,Government,S. Raka,Office Supplies,Stapler,Completed,Mobile Pay,15,55.07,826.05,0.08,66.08,0.05,38.00,20.01,817.98
ORD-202404-00305,2024-04-07,2024-04-13,2024,Q2,Apr,Sunday,South,Australia,Online,Government,D. Siroi,Software,Support Plan,Completed,Credit Card,22,578.83,12734.26,0.05,636.71,0.12,1451.71,9.20,13558.46
ORD-202404-00007,2024-04-08,2024-04-12,2024,Q2,Apr,Monday,East,Japan,Distributor,Government,P. Kuri,Home,Desk,Completed,Bank Transfer,22,233.61,5139.42,0.02,102.79,0.10,503.66,14.15,5554.44
